Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
146,37,2,104,3,Some Random Commen with Id 146
147,37,2,196,8,Some Random Commen with Id 147
148,37,2,161,5,Some Random Commen with Id 148
149,37,2,14,0,Some Random Commen with Id 149
150,37,2,128,1,Some Random Commen with Id 150
151,38,8,9,0,Some Random Commen with Id 151
152,38,8,18,0,Some Random Commen with Id 152
153,38,8,117,0,Some Random Commen with Id 153
154,38,8,45,7,Some Random Commen with Id 154
155,38,8,106,8,Some Random Commen with Id 155
156,38,8,89,2,Some Random Commen with Id 156
157,38,8,140,4,Some Random Commen with Id 157
158,38,8,198,1,Some Random Commen with Id 158
159,38,8,135,7,Some Random Commen with Id 159
160,39,5,8,4,Some Random Commen with Id 160
161,39,5,133,2,Some Random Commen with Id 161
162,39,5,183,7,Some Random Commen with Id 162
